date,market,employee_id,role,hours
2025-10-01,Los Angeles,,Driver,9
2025-10-01,Los Angeles,37578.0,Advanced Driver,7
2025-10-01,Los Angeles,37578.0,Advanced Driver,7
2025-10-01,Los Angeles,29850.0,Mapper,9
2025-10-01,Los Angeles,98386.0,Advanced Driver,10
2025-10-01,Los Angeles,98386.0,Advanced Driver,10
2025-10-01,los angeles,51526.0,Lead,6
2025-10-01,Los Angeles,22248.0,Site Associate,10
2025-10-01,Los Angeles,28897.0,Driver,6
2025-10-01,los angeles,53148.0,Driver,5
2025-10-01,los angeles,91597.0,Lead,6
2025-10-01,LOS ANGELES,11386.0,Advanced Driver,8
2025-10-01,Los Angeles,30261.0,Driver,6
2025-10-01,Los Angeles,68693.0,Driver,3
2025-10-01,los angeles,22481.0,Site Associate,7
2025-10-01,Los Angeles,80644.0,Advanced Site Associate,7
2025-10-01,Los Angeles,80644.0,Advanced Site Associate,7
2025-10-01,los angeles,35929.0,Driver,8
2025-10-01,Los Angeles,,Mapper,2
2025-10-01,Los Angeles,15628.0,Lead,9
2025-10-01,los angeles,46386.0,Lead,9
2025-10-01,Los Angeles,42106.0,Advanced Site Associate,2
2025-10-01,Los Angeles,42106.0,Advanced Site Associate,2
2025-10-01,Los Angeles,49842.0,Site Associate,3
2025-10-01,Los Angeles,49842.0,Site Associate,3
2025-10-01,los angeles,93915.0,Advanced Driver,9
2025-10-01,LOS ANGELES,73738.0,Advanced Driver,5
2025-10-01,San Francisco,21177.0,Driver,8
2025-10-01,San Francisco,67384.0,Advanced Site Associate,4
2025-10-01,San Francisco,40717.0,Advanced Driver,5
2025-10-01,San Francisco,,Mapper,5
2025-10-01,San Francisco,96252.0,Site Associate,9
2025-10-01,San Francisco,,Lead,5
2025-10-01,San Francisco,95494.0,Mapper,6
2025-10-01,San Francisco,,Advanced Site Associate,6
2025-10-01,SAN FRANCISCO,49686.0,Advanced Driver,10
2025-10-01,SAN FRANCISCO,43878.0,Mapper,8
2025-10-01,San Francisco,95428.0,Site Associate,2
2025-10-01,San Francisco,95428.0,Site Associate,2
2025-10-01,San Francisco,30269.0,Advanced Driver,4
2025-10-01,San Francisco,30269.0,Advanced Driver,4
2025-10-01,San Francisco,68017.0,Driver,4
2025-10-01,San Francisco,77900.0,Mapper,2
2025-10-01,San Francisco,77900.0,Mapper,2
2025-10-01,San Francisco,76879.0,Mapper,2
2025-10-01,San Francisco,76879.0,Mapper,2
2025-10-01,san francisco,78369.0,Mapper,5
2025-10-01,San Francisco,93301.0,Advanced Driver,10
2025-10-01,San Francisco,93301.0,Advanced Driver,10
2025-10-01,San Francisco,42131.0,Driver,6
2025-10-01,San Francisco,78149.0,Advanced Site Associate,8
2025-10-01,San Francisco,78149.0,Advanced Site Associate,8
2025-10-01,SAN FRANCISCO,65658.0,Lead,5
2025-10-01,San Francisco,50690.0,Advanced Driver,7
2025-10-01,San Francisco,50690.0,Advanced Driver,7
2025-10-01,San Francisco,,Site Associate,5
2025-10-01,San Francisco,29525.0,Lead,6
2025-10-01,San Francisco,29525.0,Lead,6
2025-10-01,San Francisco,70998.0,Mapper,9
2025-10-01,San Francisco,70998.0,Mapper,9
2025-10-01,san francisco,83238.0,Advanced Site Associate,9
2025-10-01,San Francisco,28516.0,Site Associate,7
2025-10-01,SAN FRANCISCO,72343.0,Advanced Site Associate,2
2025-10-01,San Francisco,52944.0,Site Associate,3
2025-10-01,San Francisco,52944.0,Site Associate,3
2025-10-01,PHOENIX,80600.0,Lead,6
2025-10-01,Phoenix,79928.0,Advanced Site Associate,3
2025-10-01,Phoenix,79928.0,Advanced Site Associate,3
2025-10-01,Phoenix,,Mapper,10
2025-10-01,Phoenix,45091.0,Mapper,6
2025-10-01,PHOENIX,65698.0,Driver,4
2025-10-01,PHOENIX,45701.0,Advanced Driver,9
2025-10-01,Phoenix,58215.0,Site Associate,10
2025-10-01,phoenix,52853.0,Advanced Site Associate,7
2025-10-01,phoenix,64358.0,Advanced Site Associate,7
2025-10-01,phoenix,79847.0,Lead,5
2025-10-01,phoenix,85776.0,Driver,4
2025-10-01,Phoenix,73570.0,Lead,9
2025-10-01,Phoenix,73570.0,Lead,9
2025-10-01,Phoenix,,Lead,10
2025-10-01,Phoenix,74010.0,Advanced Driver,10
2025-10-01,Phoenix,78333.0,Mapper,10
2025-10-01,Phoenix,78333.0,Mapper,10
2025-10-01,PHOENIX,61854.0,Advanced Site Associate,6
2025-10-01,Phoenix,,Lead,9
2025-10-01,Phoenix,39592.0,Advanced Driver,9
2025-10-01,Phoenix,,Site Associate,3
2025-10-01,Phoenix,,Advanced Driver,9
2025-10-01,PHOENIX,48993.0,Advanced Driver,5
2025-10-01,PHOENIX,53985.0,Advanced Driver,5
2025-10-01,Phoenix,50122.0,Advanced Driver,5
2025-10-01,Phoenix,50122.0,Advanced Driver,5
2025-10-01,phoenix,48874.0,Advanced Driver,10
2025-10-01,Phoenix,56974.0,Lead,9
2025-10-01,Denver,96926.0,Lead,2
2025-10-01,Denver,96926.0,Lead,2
2025-10-01,DENVER,34885.0,Advanced Site Associate,3
2025-10-01,DENVER,34169.0,Driver,4
2025-10-01,Denver,83712.0,Lead,5
2025-10-01,DENVER,41736.0,Mapper,7
2025-10-01,Denver,85011.0,Driver,6
2025-10-01,DENVER,13098.0,Driver,10
2025-10-01,Denver,41491.0,Mapper,9
2025-10-01,DENVER,34338.0,Advanced Site Associate,7
2025-10-01,denver,31423.0,Lead,7
2025-10-01,denver,96310.0,Driver,3
2025-10-01,denver,31997.0,Advanced Site Associate,8
2025-10-01,DENVER,22495.0,Lead,6
2025-10-01,Denver,66062.0,Advanced Driver,9
2025-10-01,Denver,66062.0,Advanced Driver,9
2025-10-01,denver,54614.0,Advanced Driver,9
2025-10-01,Denver,,Mapper,10
2025-10-01,DENVER,63446.0,Lead,4
2025-10-01,DENVER,49896.0,Site Associate,5
2025-10-01,Denver,,Advanced Driver,2
2025-10-01,Denver,,Driver,3
2025-10-01,Denver,16366.0,Site Associate,5
2025-10-01,denver,37509.0,Mapper,5
2025-10-01,DENVER,46893.0,Driver,6
2025-10-01,Denver,41200.0,Lead,2
2025-10-01,Denver,41200.0,Lead,2
2025-10-01,Denver,62864.0,Driver,5
2025-10-01,denver,23224.0,Lead,5
2025-10-01,DENVER,10042.0,Site Associate,3
2025-10-01,Manhattan,,Driver,3
2025-10-01,Manhattan,35353.0,Driver,4
2025-10-01,Manhattan,93336.0,Advanced Driver,5
2025-10-01,Manhattan,93336.0,Advanced Driver,5
2025-10-01,Manhattan,39760.0,Advanced Site Associate,8
2025-10-01,Manhattan,96901.0,Site Associate,2
2025-10-01,MANHATTAN,54171.0,Lead,4
2025-10-01,manhattan,52464.0,Driver,9
2025-10-01,manhattan,23014.0,Advanced Site Associate,7
2025-10-01,MANHATTAN,82406.0,Advanced Driver,4
2025-10-01,MANHATTAN,23846.0,Driver,5
2025-10-01,Manhattan,,Advanced Driver,6
2025-10-01,MANHATTAN,22009.0,Lead,6
2025-10-01,Manhattan,50653.0,Lead,4
2025-10-01,Manhattan,,Lead,9
2025-10-01,manhattan,72170.0,Site Associate,9
2025-10-01,manhattan,98328.0,Advanced Driver,9
2025-10-01,manhattan,40944.0,Lead,9
2025-10-01,manhattan,37512.0,Site Associate,10
2025-10-01,Portland,80489.0,Advanced Driver,4
2025-10-01,Portland,80489.0,Advanced Driver,4
2025-10-01,Portland,71817.0,Site Associate,7
2025-10-01,Portland,15891.0,Driver,4
2025-10-01,Portland,68318.0,Site Associate,8
2025-10-01,portland,47217.0,Driver,6
2025-10-01,portland,83008.0,Advanced Driver,5
2025-10-01,Portland,61959.0,Lead,10
2025-10-01,Portland,61959.0,Lead,10
2025-10-01,Portland,11710.0,Lead,5
2025-10-01,Portland,11710.0,Lead,5
2025-10-01,Portland,54300.0,Site Associate,6
2025-10-01,Portland,54300.0,Site Associate,6
2025-10-01,PORTLAND,52206.0,Lead,8
2025-10-01,PORTLAND,45006.0,Mapper,10
2025-10-01,Portland,91984.0,Lead,4
2025-10-01,portland,32836.0,Site Associate,2
2025-10-01,Portland,25281.0,Advanced Site Associate,7
2025-10-01,portland,73498.0,Advanced Site Associate,5
2025-10-01,Portland,52560.0,Lead,2
2025-10-01,Portland,,Advanced Driver,10
2025-10-01,Portland,42721.0,Advanced Site Associate,8
2025-10-01,Portland,42721.0,Advanced Site Associate,8
2025-10-01,PORTLAND,59580.0,Mapper,10
2025-10-01,San Diego,17195.0,Advanced Site Associate,2
2025-10-01,San Diego,17195.0,Advanced Site Associate,2
2025-10-01,San Diego,68844.0,Mapper,3
2025-10-01,San Diego,68844.0,Mapper,3
2025-10-01,San Diego,24208.0,Advanced Site Associate,6
2025-10-01,San Diego,24208.0,Advanced Site Associate,6
2025-10-01,San Diego,68782.0,Driver,9
2025-10-01,San Diego,26772.0,Advanced Driver,5
2025-10-01,San Diego,26772.0,Advanced Driver,5
2025-10-01,San Diego,,Driver,6
2025-10-01,san diego,44798.0,Driver,2
2025-10-01,San Diego,,Driver,2
2025-10-01,san diego,93279.0,Mapper,5
2025-10-01,San Diego,78753.0,Driver,10
2025-10-01,San Diego,52726.0,Lead,4
2025-10-01,san diego,75425.0,Lead,2
2025-10-01,San Diego,17748.0,Mapper,2
2025-10-01,San Diego,13179.0,Mapper,2
2025-10-01,San Diego,13179.0,Mapper,2
2025-10-01,San Diego,61368.0,Advanced Site Associate,8
2025-10-01,SAN DIEGO,70843.0,Advanced Site Associate,2
2025-10-01,san diego,74342.0,Lead,5
2025-10-01,San Diego,,Advanced Driver,6
2025-10-01,SAN DIEGO,57696.0,Driver,2
2025-10-01,san diego,83563.0,Lead,2
2025-10-01,san diego,33247.0,Driver,2
2025-10-01,San Diego,63354.0,Advanced Site Associate,8
2025-10-01,CHICAGO,89246.0,Advanced Driver,6
